sys,iotype,fsize,bsize,n_jobs,n_hosts,n_jobs_total,bwidth,iops,lat_mean_ns,lat_stdv_ns
cephfs,randr,1m,8k,16,8,128,694175,86771.955481,1473434.420031,2040744.556989
cephfs,randr,1m,8k,1,8,8,95407,11925.967646,660950.984366,3343110.653172
cephfs,randr,1m,8k,2,8,16,177217,22152.231811,695432.384683,2047005.947635
cephfs,randr,1m,8k,4,8,32,315220,39402.620076,806190.004635,1824646.345206
cephfs,randr,1m,8k,8,8,64,501860,62732.541169,1015835.940076,1388562.341831
cephfs,randr,2g,8k,16,8,128,37200,4650.040796,27495648.408322,29622897.104415
cephfs,randr,2g,8k,1,8,8,6314,789.324391,10100740.141123,9508389.438097
cephfs,randr,2g,8k,2,8,16,14673,1834.151478,8724558.847277,12071703.319092
cephfs,randr,2g,8k,4,8,32,24509,3063.74656,10425363.27216,15063204.499571
cephfs,randr,2g,8k,8,8,64,35467,4433.435191,14438972.502016,14575231.244596
cephfs,seqr,1m,64k,16,8,128,4489836,70153.700354,1819294.795906,2130758.142845
cephfs,seqr,1m,64k,1,8,8,600813,9387.715374,845288.919665,965055.852863
cephfs,seqr,1m,64k,2,8,16,1157532,18086.452469,880936.555488,240286.787173
cephfs,seqr,1m,64k,4,8,32,2023446,31616.35717,1007161.441245,393224.329147
cephfs,seqr,1m,64k,8,8,64,3130018,48906.534147,1306126.094195,1765165.176286
cephfs,seqr,2g,64k,16,8,128,1381706,21589.16134,5912829.127972,11938474.748686
cephfs,seqr,2g,64k,1,8,8,512157,8002.462619,993051.737313,2875271.386703
cephfs,seqr,2g,64k,2,8,16,976079,15251.249833,1044700.815374,2808372.021244
cephfs,seqr,2g,64k,4,8,32,890806,13918.848202,2297502.288575,5550040.58573
cephfs,seqr,2g,64k,8,8,64,882578,13790.28652,4640414.994003,12723453.948819
